ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Post CS B.V.;56101;117986;487036;0;Café-Restaurant;-1,9;0,5;
Noodlebar Zuid B.V.;56101;119938;483700;0;Café-Restaurant;-1,9;0,5;
Laser Action Nieuwe Meer B.V.;56101;116369;483988;0;Café-Restaurant;-1,9;0,5;
Noorderlicht;56101;121618;490308;0;Café-Restaurant;-1,9;0,5;
Indon. Rest. 'sama Sebo', h/o 'de Posthoorn';56101;120659;485997;0;Café-Restaurant;-1,9;0,5;
Tam's B.V.;56101;125532;480932;0;Café-Restaurant;-1,9;0,5;
Caffepc;56101;120456;485909;0;Café-Restaurant;-1,9;0,5;
De Oude Smidse B.V.;56101;120636;485546;0;Café-Restaurant;-1,9;0,5;
Wilhelmientje B.V.;56101;122701;488243;0;Café-Restaurant;-1,9;0,5;
Pacific Parc B.V.;56101;119885;488795;0;Café-Restaurant;-1,9;0,5;
De Bazar Amsterdam B.V.;56101;121480;485436;0;Café-Restaurant;-1,9;0,5;
Wok King B.V.;56101;121007;492989;0;Café-Restaurant;-1,9;0,5;
Stichting Nemo Horeca;56101;122647;487437;0;Café-Restaurant;-1,9;0,5;
Avram;56101;121960;486635;0;Café-Restaurant;-1,9;0,5;
Stadlander B.V. (Café Binnen Buiten);56101;120935;485334;0;Café-Restaurant;-1,9;0,5;
Shen Shi B.V.;56101;121318;487205;0;Café-Restaurant;-1,9;0,5;
Chinees Specialit. Restaur. Gouden Kom V.O.F.;56101;128017;485648;0;Café-Restaurant;-1,9;0,5;
Horecapa B.V.;56101;121216;490537;0;Café-Restaurant;-1,9;0,5;
Caneva B.V.;56101;121400;486683;0;Café-Restaurant;-1,9;0,5;
San Georg B.V.;56101;121457;486648;0;Café-Restaurant;-1,9;0,5;
Molly Malone Pub & Hospitality B.V.;56101;121904;487676;0;Café-Restaurant;-1,9;0,5;
Caffe Doppio B.V.;56101;121038;482292;0;Café-Restaurant;-1,9;0,5;
Sizzling Wok B.V.;56101;125009;478428;0;Café-Restaurant;-1,9;0,5;
Pata Negra II;56101;123534;485960;0;Café-Restaurant;-1,9;0,5;
Aneka Rasa;56101;121748;487656;0;Café-Restaurant;-1,9;0,5;
Bloem Eten & Drinken;56101;122789;486880;0;Café-Restaurant;-1,9;0,5;
Three Sisters Pub;56101;121615;486620;0;Café-Restaurant;-1,9;0,5;
De Amsterdamse Oester B.V.;56101;120642;486433;0;Café-Restaurant;-1,9;0,5;
Gustavino B.V.;56101;121020;486917;0;Café-Restaurant;-1,9;0,5;
L'abattoir B.V. h/o Hotel de Goudfazant;56101;123758;488609;0;Café-Restaurant;-1,9;0,5;
John Halvemaan B.V.;56101;120284;482414;0;Café-Restaurant;-1,9;0,5;
Caffè Italia 93;56101;121627;487522;0;Café-Restaurant;-1,9;0,5;
WEB Exploitatie B.V.;56101;120887;488036;0;Café-Restaurant;-1,9;0,5;
Brasserie Keyzer B.V.;56101;120393;485557;0;Café-Restaurant;-1,9;0,5;
Hemelse Modder;56101;122058;487364;0;Café-Restaurant;-1,9;0,5;
Barrio West B.V.;56101;119196;487151;0;Café-Restaurant;-1,9;0,5;
AS 21 B.V.;56101;120477;483873;0;Café-Restaurant;-1,9;0,5;
Oleander Amsterdam Beheer B.V.;56101;118381;487335;0;Café-Restaurant;-1,9;0,5;
NAP amsterdam;56101;128845;485066;0;Café-Restaurant;-1,9;0,5;
La Place;56101;122394;487658;0;Café-Restaurant;-1,9;0,5;
Gustavino;56101;119956;483417;0;Café-Restaurant;-1,9;0,5;
Taste Amsterdam B.V.;56101;122232;485264;0;Café-Restaurant;-1,9;0,5;
La Oliva Pintxos Y Vinos;56101;120619;487767;0;Café-Restaurant;-1,9;0,5;
Het Badhuis B.V.;56101;124532;486279;0;Café-Restaurant;-1,9;0,5;
Genki Garden;56101;121154;486619;0;Café-Restaurant;-1,9;0,5;
Café Rousseau;56101;118760;485323;0;Café-Restaurant;-1,9;0,5;
Löfel & Burke B.V.;56101;121523;487764;0;Café-Restaurant;-1,9;0,5;
Kavel 3 Horeca Exploitatie B.V.;56101;124865;480664;0;Café-Restaurant;-1,9;0,5;
TomTom Horeca B.V.;56101;125428;480858;0;Café-Restaurant;-1,9;0,5;
Five Bells;56101;121453;487700;0;Café-Restaurant;-1,9;0,5;
Thai Fusion;56101;120726;487072;0;Café-Restaurant;-1,9;0,5;
De Markies;56101;121534;487624;0;Café-Restaurant;-1,9;0,5;
Simple Twist B.V.;56101;121253;487505;0;Café-Restaurant;-1,9;0,5;
De Pont B.V.;56101;122052;488398;0;Café-Restaurant;-1,9;0,5;
Paviljoen Aquarius;56101;115974;483138;0;Café-Restaurant;-1,9;0,5;
Rose's Cantina;56101;121215;486602;0;Café-Restaurant;-1,9;0,5;
raïnaraï;56101;119491;488777;0;Café-Restaurant;-1,9;0,5;
Merkelbach B.V.;56101;124089;484902;0;Café-Restaurant;-1,9;0,5;
Dok 48;56101;128992;485059;0;Café-Restaurant;-1,9;0,5;
LAB 111;56101;119610;486331;0;Café-Restaurant;-1,9;0,5;
Koetjes en Kalfjes Amsterdam;56101;119955;483420;0;Café-Restaurant;-1,9;0,5;
Polder Horeca B.V.;56101;125394;485281;0;Café-Restaurant;-1,9;0,5;
George W B.V.;56101;120097;485614;0;Café-Restaurant;-1,9;0,5;
Tokyo Café Damrak;56101;121549;487642;0;Café-Restaurant;-1,9;0,5;
Ruixin Holland B.V.;56101;121857;487585;0;Café-Restaurant;-1,9;0,5;
Sal Gorda;56101;119986;485456;0;Café-Restaurant;-1,9;0,5;
Rain Amsterdam B.V.;56101;121626;486544;0;Café-Restaurant;-1,9;0,5;
Oost;56101;122776;485809;0;Café-Restaurant;-1,9;0,5;
Bolenius;56101;119999;483252;0;Café-Restaurant;-1,9;0,5;
l'Ozio;56101;121160;485531;0;Café-Restaurant;-1,9;0,5;
De Blauwe Hollander;56101;120777;486297;0;Café-Restaurant;-1,9;0,5;
Tropico;56101;121208;487247;0;Café-Restaurant;-1,9;0,5;
The Red Sun Next Door Amsterdam B.V.;56101;119545;484376;0;Café-Restaurant;-1,9;0,5;
Van de kaart;56101;120865;486311;0;Café-Restaurant;-1,9;0,5;
Ava Tomas;56101;121479;487700;0;Café-Restaurant;-1,9;0,5;
Da Portare Via Amsterdam B.V.;56101;121817;489308;0;Café-Restaurant;-1,9;0,5;
BO&T Blinq B.V.;56101;120685;486317;0;Café-Restaurant;-1,9;0,5;
HEAT aan 't IJ B.V.;56101;123172;487782;0;Café-Restaurant;-1,9;0,5;
Cunados Horeca B.V.;56101;120886;488201;0;Café-Restaurant;-1,9;0,5;
Humphrey's Amsterdam Spuistraat B.V.;56101;121084;487026;0;Café-Restaurant;-1,9;0,5;
Greenlight District;56101;121766;487734;0;Café-Restaurant;-1,9;0,5;
Sumo Amsterdam B.V.;56101;120636;486439;0;Café-Restaurant;-1,9;0,5;
Destra del Ponte;56101;121689;487151;0;Café-Restaurant;-1,9;0,5;
Güllüoglu;56101;121410;486670;0;Café-Restaurant;-1,9;0,5;
Gauchos Franchise Leidseplein Amsterdam B.V.;56101;120699;486368;0;Café-Restaurant;-1,9;0,5;
Buurtboerderij Horeca B.V.;56101;121478;488172;0;Café-Restaurant;-1,9;0,5;
Gauchos Franchise Beethovenstraat A'dam B.V.;56101;120257;484561;0;Café-Restaurant;-1,9;0,5;
Warmoesstraat 111 B.V.;56101;121594;487482;0;Café-Restaurant;-1,9;0,5;
Food for neighbours;56101;126445;487485;0;Café-Restaurant;-1,9;0,5;
Memories of India;56101;121420;486557;0;Café-Restaurant;-1,9;0,5;
Uncle Wong;56101;121098;485317;0;Café-Restaurant;-1,9;0,5;
Club A24 B.V.;56101;121779;486581;0;Café-Restaurant;-1,9;0,5;
TEN ZUIDEN VAN;56101;121244;485484;0;Café-Restaurant;-1,9;0,5;
NS Stat. Ret.bedr. B.V. t.h.o.d.n. Starbucks;56101;117585;489180;0;Café-Restaurant;-1,9;0,5;
Kyoto Café B.V.;56101;121549;487642;0;Café-Restaurant;-1,9;0,5;
Julia's Amsterdam Sloterdijk;56101;117591;489184;0;Café-Restaurant;-1,9;0,5;
Stock B.V.;56101;121527;487615;0;Café-Restaurant;-1,9;0,5;
Shabu Shabu Amsterdam B.V.;56101;121164;485574;0;Café-Restaurant;-1,9;0,5;
Djakarta/Djanoko;56101;120516;485362;0;Café-Restaurant;-1,9;0,5;
Rembrandt Corner;56101;121899;486947;0;Café-Restaurant;-1,9;0,5;
Pastis;56101;120072;486459;0;Café-Restaurant;-1,9;0,5;
H & F Horeca Exploitatie B.V.;56101;114696;483849;0;Café-Restaurant;-1,9;0,5;
Dozo Izakaya B.V.;56101;120717;486426;0;Café-Restaurant;-1,9;0,5;
Rosa en Rita B.V.;56101;123963;487213;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1073 B.V.;56101;121392;487440;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1138 B.V.;56101;121276;487148;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1008 B.V.;56101;121127;485354;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1005 B.V.;56101;121335;487449;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1011 B.V.;56101;121577;487827;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1252 B.V.;56101;121666;487782;0;Café-Restaurant;-1,9;0,5;
Pekelhaaring B.V.;56101;121990;485158;0;Café-Restaurant;-1,9;0,5;
Exploitatie Horeca Amsterdam B.V.;56101;125007;478765;0;Café-Restaurant;-1,9;0,5;
Le Pub Leidseplein B.V.;56101;120660;486414;0;Café-Restaurant;-1,9;0,5;
Café Lux B.V.;56101;120504;486452;0;Café-Restaurant;-1,9;0,5;
Natchos V.O.F.;56101;121376;486654;0;Café-Restaurant;-1,9;0,5;
Kees.drinken, eten en drinken;56101;122319;485423;0;Café-Restaurant;-1,9;0,5;
Pompstation;56101;124067;486548;0;Café-Restaurant;-1,9;0,5;
De Uitvreter;56101;120455;487100;0;Café-Restaurant;-1,9;0,5;
MacBlauw 1180 B.V.;56101;123676;486164;0;Café-Restaurant;-1,9;0,5;
Mchi B.V.;56101;128477;485208;0;Café-Restaurant;-1,9;0,5;
The Mill B.V.;56101;121812;487404;0;Café-Restaurant;-1,9;0,5;
Ponte Vecchio Dam;56101;121247;487578;0;Café-Restaurant;-1,9;0,5;
PQNL Spui B.V.;56101;121062;487066;0;Café-Restaurant;-1,9;0,5;
BLOS Horeca B.V.;56101;121830;487532;0;Café-Restaurant;-1,9;0,5;
Café Berkhout B.V.;56101;121174;485677;0;Café-Restaurant;-1,9;0,5;
Noodlebar Rembrandtplein B.V.;56101;121703;486581;0;Café-Restaurant;-1,9;0,5;
Brasserie Hoekenrode B.V.;56101;125050;480659;0;Café-Restaurant;-1,9;0,5;
Dragon-I Amsterdam;56101;118783;485221;0;Café-Restaurant;-1,9;0,5;
Carne Argentina V.O.F.;56101;121504;487251;0;Café-Restaurant;-1,9;0,5;
Chocolate Bar B.V.;56101;121339;485365;0;Café-Restaurant;-1,9;0,5;
Kickert Wijn;56101;121412;485129;0;Café-Restaurant;-1,9;0,5;
Pie Amsterdam B.V.;56101;121131;490443;0;Café-Restaurant;-1,9;0,5;
Meram Amsterdam Oost II B.V.;56101;123706;485477;0;Café-Restaurant;-1,9;0,5;
Bloemenbar B.V.;56101;124676;485080;0;Café-Restaurant;-1,9;0,5;
Yokiyo;56101;124017;486044;0;Café-Restaurant;-1,9;0,5;
De Rode Loper Concept B.V.;56101;121615;487167;0;Café-Restaurant;-1,9;0,5;
HEAT Hoofddorp B.V.;56101;123480;490138;0;Café-Restaurant;-1,9;0,5;
Daan & Caam B.V.;56101;121406;486559;0;Café-Restaurant;-1,9;0,5;
Casa della Gioia B.V.;56101;121772;487701;0;Café-Restaurant;-1,9;0,5;
Exploitatiemaatschappij Frankendael B.V.;56101;124367;484668;0;Café-Restaurant;-1,9;0,5;
NS Stations Ret.bedr. B.V. t.h.o.d.n. Julia's;56101;119981;483480;0;Café-Restaurant;-1,9;0,5;
Daily Fresh & Go B.V.;56101;121885;487537;0;Café-Restaurant;-1,9;0,5;
Seafood Bar B.V.;56101;120278;485906;0;Café-Restaurant;-1,9;0,5;
Eetlokaal LT;56101;124348;486288;0;Café-Restaurant;-1,9;0,5;
Noodlebar Max Euwe B.V.;56101;120664;486189;0;Café-Restaurant;-1,9;0,5;
Yip Management NL B.V.;56101;121412;487370;0;Café-Restaurant;-1,9;0,5;
L'Incontro;56101;118812;485208;0;Café-Restaurant;-1,9;0,5;
Noah's Arq;56101;122642;487120;0;Café-Restaurant;-1,9;0,5;
Mei Wah;56101;124326;490138;0;Café-Restaurant;-1,9;0,5;
MAXIMUS NL B.V.;56101;120681;486162;0;Café-Restaurant;-1,9;0,5;
Woods;56101;120320;490082;0;Café-Restaurant;-1,9;0,5;
Café Piazza;56101;121823;487229;0;Café-Restaurant;-1,9;0,5;
Little Italy Pizza & Pasta;56101;120748;486310;0;Café-Restaurant;-1,9;0,5;
Panama Alive B.V.;56101;123895;487557;0;Café-Restaurant;-1,9;0,5;
Mangetsu B.V.;56101;118802;485134;0;Café-Restaurant;-1,9;0,5;
Hamdi Horeca B.V.;56101;121513;486476;0;Café-Restaurant;-1,9;0,5;
&samhoud places;56101;122238;487711;0;Café-Restaurant;-1,9;0,5;
Sumo Amsterdam 2 B.V.;56101;121319;486516;0;Café-Restaurant;-1,9;0,5;
Fa. Speijkervet B.V.;56101;119082;487167;0;Café-Restaurant;-1,9;0,5;
Westpoort Horeca B.V.;56101;119699;489945;0;Café-Restaurant;-1,9;0,5;
Woo Bros;56101;122009;486871;0;Café-Restaurant;-1,9;0,5;
mr. Tom B.V.;56101;121731;487655;0;Café-Restaurant;-1,9;0,5;
De Wereldbol;56101;124660;487720;0;Café-Restaurant;-1,9;0,5;
Denkers Horeca;56101;118808;485657;0;Café-Restaurant;-1,9;0,5;
Barrio West B.V.;56101;119406;487048;0;Café-Restaurant;-1,9;0,5;
Happyhappyjoyjoy East;56101;121057;486746;0;Café-Restaurant;-1,9;0,5;
Loetje Oost;56101;122371;485580;0;Café-Restaurant;-1,9;0,5;
Il Valentino;56101;119086;485861;0;Café-Restaurant;-1,9;0,5;
Royal Fook Long;56101;115661;484307;0;Café-Restaurant;-1,9;0,5;
Tales & Spirits B.V.;56101;121265;487696;0;Café-Restaurant;-1,9;0,5;
Döner Baba B.V.;56101;127155;481022;0;Café-Restaurant;-1,9;0,5;
Het Tolhuis;56101;122161;488468;0;Café-Restaurant;-1,9;0,5;
Bicken B.V.;56101;120259;486299;0;Café-Restaurant;-1,9;0,5;
Spang Makandra 3 B.V.;56101;121094;485388;0;Café-Restaurant;-1,9;0,5;
Woest Amsterdam;56101;118221;484975;0;Café-Restaurant;-1,9;0,5;
Nu of Nooit B.V.;56101;122669;485294;0;Café-Restaurant;-1,9;0,5;
Casa di Sergio;56101;120716;486345;0;Café-Restaurant;-1,9;0,5;
Amsterdam Hospitality Company B.V.;56101;120438;485678;0;Café-Restaurant;-1,9;0,5;
Luxor Nile Sphinx;56101;121380;486658;0;Café-Restaurant;-1,9;0,5;
Sarphatipark B.V.;56101;121677;485210;0;Café-Restaurant;-1,9;0,5;
Hünkar;56101;115086;488004;0;Café-Restaurant;-1,9;0,5;
Padjak De Smeltkroes B.V.;56101;126942;481717;0;Café-Restaurant;-1,9;0,5;
Paleis van de Weemoed;56101;121820;487560;0;Café-Restaurant;-1,9;0,5;
Kerkstraat 59;56101;120870;486477;0;Café-Restaurant;-1,9;0,5;
Stadsdeel B.V.;56101;120026;485689;0;Café-Restaurant;-1,9;0,5;
S. Maria La Virgin B.V.;56101;121814;487341;0;Café-Restaurant;-1,9;0,5;
Vondelpark 3 B.V.;56101;120108;486030;0;Café-Restaurant;-1,9;0,5;
IC E-norm B.V.;56101;116428;488232;0;Café-Restaurant;-1,9;0,5;
Semble B.V.;56101;121966;487447;0;Café-Restaurant;-1,9;0,5;
B&B Ode B.V.;56101;122352;487661;0;Café-Restaurant;-1,9;0,5;
Het Stadspaleis;56101;121187;487145;0;Café-Restaurant;-1,9;0,5;
Buuf Overtoom V.O.F.;56101;118927;485713;0;Café-Restaurant;-1,9;0,5;
Yang Ming Garden;56101;118290;488618;0;Café-Restaurant;-1,9;0,5;
JPK B.V.;56101;122630;486970;0;Café-Restaurant;-1,9;0,5;
VELTMEER B.V.;56101;113148;485490;0;Café-Restaurant;-1,9;0,5;
Puento Patanegra;56101;123779;487644;0;Café-Restaurant;-1,9;0,5;
Backbone B.V.;56101;122621;485204;0;Café-Restaurant;-1,9;0,5;
Kokkie Kout Kompanie B.V.;56101;121047;486023;0;Café-Restaurant;-1,9;0,5;
Klutsei B.V.;56101;118859;485050;0;Café-Restaurant;-1,9;0,5;
Rotisserie Rijsel B.V.;56101;122686;484961;0;Café-Restaurant;-1,9;0,5;
Harbour Amsterdam B.V.;56101;125080;486864;0;Café-Restaurant;-1,9;0,5;
Het Café;56101;120770;485965;0;Café-Restaurant;-1,9;0,5;
La Maison Bon Appétit;56101;124991;486490;0;Café-Restaurant;-1,9;0,5;
Casa Italiana;56101;120753;486307;0;Café-Restaurant;-1,9;0,5;
Vergulden Eenhoorn B.V.;56101;123198;484926;0;Café-Restaurant;-1,9;0,5;
Gili Amsterdam B.V.;56101;118788;485192;0;Café-Restaurant;-1,9;0,5;
Eljon & Partners;56101;125240;485261;0;Café-Restaurant;-1,9;0,5;
Valentijn B.V.;56101;113858;486095;0;Café-Restaurant;-1,9;0,5;
Loetje aan 't IJ B.V.;56101;120866;490683;0;Café-Restaurant;-1,9;0,5;
Cinema Paradiso B.V.;56101;120575;487940;0;Café-Restaurant;-1,9;0,5;
Magnetico B.V.;56101;125770;487219;0;Café-Restaurant;-1,9;0,5;
Amstelhoven B.V.;56101;122073;486568;0;Café-Restaurant;-1,9;0,5;
East Harbour B.V.;56101;125050;480659;0;Café-Restaurant;-1,9;0,5;
Dido B.V.;56101;118113;487233;0;Café-Restaurant;-1,9;0,5;
Salmuera B.V.;56101;120423;487387;0;Café-Restaurant;-1,9;0,5;
KellyDeli;56101;118682;489924;0;Café-Restaurant;-1,9;0,5;
The Walter Woodbury Bar;56101;124091;486278;0;Café-Restaurant;-1,9;0,5;
Desire B.V.;56101;127159;481017;0;Café-Restaurant;-1,9;0,5;
Luden Amsterdam;56101;121044;486952;0;Café-Restaurant;-1,9;0,5;
Lieve V.O.F.;56101;121099;487771;0;Café-Restaurant;-1,9;0,5;
Ristorante Saturnino B.V.;56101;121101;486666;0;Café-Restaurant;-1,9;0,5;
Bête a Bon Dieu B.V.;56101;121564;486777;0;Café-Restaurant;-1,9;0,5;
Exploitatiemaatschappij El Rief B.V.;56101;113382;487180;0;Café-Restaurant;-1,9;0,5;
Partners in Shine B.V.;56101;121153;486806;0;Café-Restaurant;-1,9;0,5;
Terpen Tyn B.V.;56101;121330;486993;0;Café-Restaurant;-1,9;0,5;
Cornelis Troost B.V.;56101;121195;484852;0;Café-Restaurant;-1,9;0,5;
Gastrobar Sheeba B.V.;56101;121668;487566;0;Café-Restaurant;-1,9;0,5;
Pjoter;56101;123709;487135;0;Café-Restaurant;-1,9;0,5;
Rembrandts Bridge B.V.;56101;121899;486947;0;Café-Restaurant;-1,9;0,5;
Voscheheugte B.V.;56101;121869;486145;0;Café-Restaurant;-1,9;0,5;
Boven de Planken B.V.;56101;120325;490032;0;Café-Restaurant;-1,9;0,5;
Plegat B.V.;56101;124528;486247;0;Café-Restaurant;-1,9;0,5;
Ramen-Ya B.V.;56101;121527;487245;0;Café-Restaurant;-1,9;0,5;
Meram Osdorp B.V.;56101;115552;485970;0;Café-Restaurant;-1,9;0,5;
Kitchen & Bar Van Rijn B.V.;56101;121592;486617;0;Café-Restaurant;-1,9;0,5;
Kyoto Japanese Cuisine B.V.;56101;122473;489762;0;Café-Restaurant;-1,9;0,5;
Casa di Leo;56101;120875;486164;0;Café-Restaurant;-1,9;0,5;
Zoey's;56101;123699;485534;0;Café-Restaurant;-1,9;0,5;
Kim-Forte B.V.;56101;113606;489458;0;Café-Restaurant;-1,9;0,5;
Bella Storia;56101;120065;488557;0;Café-Restaurant;-1,9;0,5;
PAR HASARD B.V.;56101;121279;485139;0;Café-Restaurant;-1,9;0,5;
Bocconi Sani B.V.;56101;120479;489054;0;Café-Restaurant;-1,9;0,5;
Roezemoes;56101;124651;490102;0;Café-Restaurant;-1,9;0,5;
V.O.F. De Pizzabakkers De Pijp;56101;121632;485487;0;Café-Restaurant;-1,9;0,5;
The Fat Dog B.V.;56101;120912;484781;0;Café-Restaurant;-1,9;0,5;
Casa Nostra;56101;122015;485407;0;Café-Restaurant;-1,9;0,5;
Wine & Dine Amsterdam B.V.;56101;124909;480018;0;Café-Restaurant;-1,9;0,5;
't Vliegertje;56101;121198;484278;0;Café-Restaurant;-1,9;0,5;
De jonge admiraal;56101;124423;486319;0;Café-Restaurant;-1,9;0,5;
PVH Europe B.V.;56101;120343;486296;0;Café-Restaurant;-1,9;0,5;
Deli Roti Hilda;56101;126116;479119;0;Café-Restaurant;-1,9;0,5;
Döner Baba II B.V.;56101;120905;487103;0;Café-Restaurant;-1,9;0,5;
Rio Bueno;56101;121767;487678;0;Café-Restaurant;-1,9;0,5;
De Kabel B.V.;56101;120192;487012;0;Café-Restaurant;-1,9;0,5;
SLA Zuidas B.V.;56101;119833;483388;0;Café-Restaurant;-1,9;0,5;
Nacional B.V.;56101;121182;486628;0;Café-Restaurant;-1,9;0,5;
Gli Artisti;56101;118905;484989;0;Café-Restaurant;-1,9;0,5;
Café Mojo;56101;123722;485311;0;Café-Restaurant;-1,9;0,5;
George Queen Str. B.V.;56101;119313;485141;0;Café-Restaurant;-1,9;0,5;
La Mezcaleria de la Vecina;56101;119168;487337;0;Café-Restaurant;-1,9;0,5;
Hartenstraat 24 B.V.;56101;120846;487286;0;Café-Restaurant;-1,9;0,5;
Café de Ceuvel;56101;122569;489585;0;Café-Restaurant;-1,9;0,5;
El Maestro B.V.;56101;116875;486272;0;Café-Restaurant;-1,9;0,5;
Jacketz Oud-West B.V.;56101;119980;486770;0;Café-Restaurant;-1,9;0,5;
Het Ceintuur Theater B.V.;56101;121224;485089;0;Café-Restaurant;-1,9;0,5;
Café de Bieb Amsterdam B.V.;56101;121053;485420;0;Café-Restaurant;-1,9;0,5;
The Uptown Meat Club B.V.;56101;120281;485900;0;Café-Restaurant;-1,9;0,5;
Odessa Star B.V.;56101;124385;487500;0;Café-Restaurant;-1,9;0,5;
Galaxie Diner;56101;121496;485758;0;Café-Restaurant;-1,9;0,5;
Antica Trattoria 'Pasta Vino';56101;123568;488059;0;Café-Restaurant;-1,9;0,5;
DGR Hospitality B.V.;56101;121151;489033;0;Café-Restaurant;-1,9;0,5;
Café Lennep;56101;119242;486250;0;Café-Restaurant;-1,9;0,5;
The Gastro.bar;56101;123949;487960;0;Café-Restaurant;-1,9;0,5;
Sla Utrechtse B.V.;56101;121646;486520;0;Café-Restaurant;-1,9;0,5;
Fou Fow;56101;120611;487056;0;Café-Restaurant;-1,9;0,5;
Stichting Instock;56101;123626;486854;0;Café-Restaurant;-1,9;0,5;
Pind Punjabi;56101;122058;484732;0;Café-Restaurant;-1,9;0,5;
Febo Boulevard;56101;124549;480719;0;Café-Restaurant;-1,9;0,5;
Black and Blue B.V.;56101;120830;487661;0;Café-Restaurant;-1,9;0,5;
Stoom Badhuis NDSM B.V.;56101;122384;490566;0;Café-Restaurant;-1,9;0,5;
A-Plein Horeca B.V.;56101;122030;485731;0;Café-Restaurant;-1,9;0,5;
BD 158 B.V.;56101;121057;486746;0;Café-Restaurant;-1,9;0,5;
Sumo Amsterdam 3 B.V.;56101;121490;487839;0;Café-Restaurant;-1,9;0,5;
Chicanos El Argentino;56101;120745;486314;0;Café-Restaurant;-1,9;0,5;
Taste of Africa B.V.;56101;125633;481744;0;Café-Restaurant;-1,9;0,5;
Grupo Frangos B.V.;56101;119047;481774;0;Café-Restaurant;-1,9;0,5;
PQNL Gelderlandplein B.V.;56101;120322;482730;0;Café-Restaurant;-1,9;0,5;
Dov Melo B.V.;56101;120702;486435;0;Café-Restaurant;-1,9;0,5;
Sumo Amsterdam 4 B.V.;56101;120713;486284;0;Café-Restaurant;-1,9;0,5;
Sierenborch B.V.;56101;115277;489354;0;Café-Restaurant;-1,9;0,5;
Plancius eten en drinken C.V.;56101;122689;486766;0;Café-Restaurant;-1,9;0,5;
Loetje Centraal B.V.;56101;121843;487858;0;Café-Restaurant;-1,9;0,5;
Pazzi Due B.V.;56101;119598;487044;0;Café-Restaurant;-1,9;0,5;
Kerolus C.V.;56101;121715;487585;0;Café-Restaurant;-1,9;0,5;
Suffren Food B.V.;56101;121410;486670;0;Café-Restaurant;-1,9;0,5;
Festa Foods;56101;124450;485834;0;Café-Restaurant;-1,9;0,5;
Gaserop B.V.;56101;119324;484255;0;Café-Restaurant;-1,9;0,5;
Porto Paradiso B.V.;56101;123677;486053;0;Café-Restaurant;-1,9;0,5;
The Taste of Vietnam;56101;121056;487836;0;Café-Restaurant;-1,9;0,5;
Piri Piri Amsterdam;56101;119919;488634;0;Café-Restaurant;-1,9;0,5;
Seafood Bar Spui B.V.;56101;121178;486877;0;Café-Restaurant;-1,9;0,5;
Van Dinh Ly;56101;121421;484987;0;Café-Restaurant;-1,9;0,5;
Draaibrug B.V.;56101;121057;486746;0;Café-Restaurant;-1,9;0,5;
Le Big Fish B.V.;56101;119660;486676;0;Café-Restaurant;-1,9;0,5;
Amore Mio 2;56101;126125;479099;0;Café-Restaurant;-1,9;0,5;
Fortuna George B.V.;56101;121020;486917;0;Café-Restaurant;-1,9;0,5;
Wolf Atelier;56101;121303;488473;0;Café-Restaurant;-1,9;0,5;
De Bicker eten en drinken;56101;121478;484967;0;Café-Restaurant;-1,9;0,5;
Chef's Podium;56101;120983;485427;0;Café-Restaurant;-1,9;0,5;
Akko Taste B.V.;56101;121663;486445;0;Café-Restaurant;-1,9;0,5;
Pepper Thai Cuisine;56101;122003;485460;0;Café-Restaurant;-1,9;0,5;
Gaasper Camping Amsterdam Services B.V.;56101;128012;480590;0;Café-Restaurant;-1,9;0,5;
Kip aan de Zaan B.V.;56101;123888;485621;0;Café-Restaurant;-1,9;0,5;
Ichiba B.V.;56101;119754;483716;0;Café-Restaurant;-1,9;0,5;
ERK Corporation B.V.;56101;121090;484916;0;Café-Restaurant;-1,9;0,5;
Hummbar B.V.;56101;121659;486586;0;Café-Restaurant;-1,9;0,5;
Shabu Shabu Rembrandtplein B.V.;56101;121659;486586;0;Café-Restaurant;-1,9;0,5;
Tastoeamsterdam;56101;118422;484911;0;Café-Restaurant;-1,9;0,5;
De kleine Valk B.V.;56101;121228;485609;0;Café-Restaurant;-1,9;0,5;
The Oyster Club B.V.;56101;118697;483971;0;Café-Restaurant;-1,9;0,5;
Monrovia Childhood Secret;56101;125633;481744;0;Café-Restaurant;-1,9;0,5;
ABC Amsterdam B.V.;56101;115708;489307;0;Café-Restaurant;-1,9;0,5;
Chez BaCo B.V.;56101;121509;486670;0;Café-Restaurant;-1,9;0,5;
BAR DK;56101;120270;486447;0;Café-Restaurant;-1,9;0,5;
Exploit.maatsch. Marie Heinekenplein B.V.;56101;121244;485553;0;Café-Restaurant;-1,9;0,5;
StrOOp B.V.;56101;120100;492513;0;Café-Restaurant;-1,9;0,5;
Wijncafé Worst;56101;120996;489114;0;Café-Restaurant;-1,9;0,5;
Mangiaccanto;56101;121461;484516;0;Café-Restaurant;-1,9;0,5;
Ristorante Il Primo;56101;121116;486657;0;Café-Restaurant;-1,9;0,5;
Bar-West B.V.;56101;119683;487108;0;Café-Restaurant;-1,9;0,5;
