ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor
Bommels Broodjes;119610;487725;0;Lunchroom;0,5;-1,5;-0,75
La Place Food B.V.;122394;487658;0;Lunchroom;0,5;-1,5;-0,75
Broodje Bonjour;123941;485968;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bedr. B.V. t.h.o.d.n. Starbucks;117585;489180;0;Lunchroom;0,5;-1,5;-0,75
CoffeeConcepts SandwichBar B.V.;121082;486663;0;Lunchroom;0,5;-1,5;-0,75
Louis Amsterdam B.V.;121317;487797;0;Lunchroom;0,5;-1,5;-0,75
Gaziantep Serif Oglu;116422;488206;0;Lunchroom;0,5;-1,5;-0,75
Yoghurt Barn N3 B.V.;121814;487985;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bedr. B.V. t.h.o.d.n. Starbucks;121819;487949;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bdr. B.V./Starbucks (A'dam sp.2);121864;487961;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bedr. BV De Broodzaak Mid.tunnel;121857;487970;0;Lunchroom;0,5;-1,5;-0,75
TBC Wibautstraat B.V.;122512;485514;0;Lunchroom;0,5;-1,5;-0,75
Coffee Plaza SLD B.V.;117588;489099;0;Lunchroom;0,5;-1,5;-0,75
Joost Labadie t.h.o.d.n. Subway Akerpoort;113852;486022;0;Lunchroom;0,5;-1,5;-0,75
Buon Giorno B.V.;119308;487102;0;Lunchroom;0,5;-1,5;-0,75
Café-Koffiehuis De Cuyp;121217;485353;0;Lunchroom;0,5;-1,5;-0,75
Koffie & Zo;121690;484560;0;Lunchroom;0,5;-1,5;-0,75
Bagels & Beans Vivaldi;120720;483165;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bedr. B.V. t.h.o.d.n. Starbucks;125025;480561;0;Lunchroom;0,5;-1,5;-0,75
C.V. Coffee & Juices;118758;485796;0;Lunchroom;0,5;-1,5;-0,75
Café-Koffiehuis Vak-West;118729;486928;0;Lunchroom;0,5;-1,5;-0,75
Jamal Sandwiches;129268;484848;0;Lunchroom;0,5;-1,5;-0,75
JACOBS DOUWE EGBERTS Coffeecompany B.V.;120730;487071;0;Lunchroom;0,5;-1,5;-0,75
Caffe Doppio B.V.;121038;482292;0;Lunchroom;0,5;-1,5;-0,75
SS Arena B.V.;125167;480632;0;Lunchroom;0,5;-1,5;-0,75
Empanadas Argentinas;119762;486909;0;Lunchroom;0,5;-1,5;-0,75
Sugarless;119802;486964;0;Lunchroom;0,5;-1,5;-0,75
TOKI;120842;488456;0;Lunchroom;0,5;-1,5;-0,75
westpoort lunch;114200;489454;0;Lunchroom;0,5;-1,5;-0,75
Caribou Cafe;118856;488681;0;Lunchroom;0,5;-1,5;-0,75
Espressobar Tazzina Amsterdam;120878;488305;0;Lunchroom;0,5;-1,5;-0,75
T.O. Sandwiches;124468;490160;0;Lunchroom;0,5;-1,5;-0,75
Petit Deux;121236;488210;0;Lunchroom;0,5;-1,5;-0,75
De Amsterdamsche Tram;117742;489122;0;Lunchroom;0,5;-1,5;-0,75
Caffè Belmondo;119713;483375;0;Lunchroom;0,5;-1,5;-0,75
Paris Broodjeszaak B.V.;117019;485837;0;Lunchroom;0,5;-1,5;-0,75
B&R Pastry Co.;119885;485262;0;Lunchroom;0,5;-1,5;-0,75
Brunchroom;123764;486928;0;Lunchroom;0,5;-1,5;-0,75
Coffee and Friends;123873;487077;0;Lunchroom;0,5;-1,5;-0,75
Stock B.V.;121527;487615;0;Lunchroom;0,5;-1,5;-0,75
Starbucks Damrak 80-81;121432;487489;0;Lunchroom;0,5;-1,5;-0,75
Delifrance Damrak B.V.;121428;487484;0;Lunchroom;0,5;-1,5;-0,75
Lunchcafe Karel;123630;486396;0;Lunchroom;0,5;-1,5;-0,75
Lunchroom Molina;114078;485507;0;Lunchroom;0,5;-1,5;-0,75
Le Fournil Royale;114075;485517;0;Lunchroom;0,5;-1,5;-0,75
Theetante;127774;487736;0;Lunchroom;0,5;-1,5;-0,75
Street Kitchen B.V.;120002;486464;0;Lunchroom;0,5;-1,5;-0,75
Bakers & Roasters;121119;485608;0;Lunchroom;0,5;-1,5;-0,75
SS Damrak;121302;487428;0;Lunchroom;0,5;-1,5;-0,75
The Coffee Company B.V.;121157;485494;0;Lunchroom;0,5;-1,5;-0,75
Lunchroom 'Hannibal';121147;485286;0;Lunchroom;0,5;-1,5;-0,75
temakery;121181;485142;0;Lunchroom;0,5;-1,5;-0,75
Taste Natural;123986;490505;0;Lunchroom;0,5;-1,5;-0,75
Buon Giorno 7 B.V.;118219;488040;0;Lunchroom;0,5;-1,5;-0,75
Doppio Espresso Amsterdam Zuidas;119943;483343;0;Lunchroom;0,5;-1,5;-0,75
Jack's Blend;114342;488445;0;Lunchroom;0,5;-1,5;-0,75
Biancolatte;120780;488609;0;Lunchroom;0,5;-1,5;-0,75
Koffie ende Koeck;119900;488728;0;Lunchroom;0,5;-1,5;-0,75
Bouillon Brothers;120273;489766;0;Lunchroom;0,5;-1,5;-0,75
Screaming Beans Coffeebar B.V.;120879;487284;0;Lunchroom;0,5;-1,5;-0,75
Lebkov;125050;480659;0;Lunchroom;0,5;-1,5;-0,75
La Place Food B.V.;124362;480747;0;Lunchroom;0,5;-1,5;-0,75
Il Sogno;128212;485442;0;Lunchroom;0,5;-1,5;-0,75
Koala Food Concepts B.V.;118586;487066;0;Lunchroom;0,5;-1,5;-0,75
Coff. on Wheels thodn CasaBarista Amsterdam;127037;486044;0;Lunchroom;0,5;-1,5;-0,75
Jack's Espressobar B.V.;122199;489839;0;Lunchroom;0,5;-1,5;-0,75
Global Connect Coffee B.V.;118201;489562;0;Lunchroom;0,5;-1,5;-0,75
Koffiehuis Kadijksplein;122631;487012;0;Lunchroom;0,5;-1,5;-0,75
Bakers & Roasters;122677;487025;0;Lunchroom;0,5;-1,5;-0,75
Le Papillon Bleu;117741;485265;0;Lunchroom;0,5;-1,5;-0,75
The Coffee Virus - Startup Village;117735;485277;0;Lunchroom;0,5;-1,5;-0,75
Clubkoffie;123156;485287;0;Lunchroom;0,5;-1,5;-0,75
La Place B.V.;124983;479395;0;Lunchroom;0,5;-1,5;-0,75
Puck Coffee;124339;486428;0;Lunchroom;0,5;-1,5;-0,75
Kopjes;118777;487089;0;Lunchroom;0,5;-1,5;-0,75
Lunch Idee;123295;488757;0;Lunchroom;0,5;-1,5;-0,75
Chanties Couture Cakes;124523;486371;0;Lunchroom;0,5;-1,5;-0,75
JACOBS DOUWE EGBERTS Coffeecompany B.V.;122781;484483;0;Lunchroom;0,5;-1,5;-0,75
Coffee & Bakery B.V.;121710;485586;0;Lunchroom;0,5;-1,5;-0,75
Eerlijk - Coffee.Cuisine.Coaching B.V.;122408;486304;0;Lunchroom;0,5;-1,5;-0,75
Omelegg Centrum B.V.;121810;487686;0;Lunchroom;0,5;-1,5;-0,75
TOASTABLE;121468;487989;0;Lunchroom;0,5;-1,5;-0,75
STACH;121493;487976;0;Lunchroom;0,5;-1,5;-0,75
Lunchcafé Blom B.V.;121557;487713;0;Lunchroom;0,5;-1,5;-0,75
SS Nieuwendijk B.V.;121545;487699;0;Lunchroom;0,5;-1,5;-0,75
SS Dam B.V.;121316;487424;0;Lunchroom;0,5;-1,5;-0,75
Vinnies;121405;487700;0;Lunchroom;0,5;-1,5;-0,75
JACOBS DOUWE EGBERTS Coffeecompany B.V.;122353;487661;0;Lunchroom;0,5;-1,5;-0,75
G. van Bakel - Douwens/Bagels & Beans Oostprt;123782;485425;0;Lunchroom;0,5;-1,5;-0,75
Lunchroom Soussi;114899;486183;0;Lunchroom;0,5;-1,5;-0,75
Espressobar ''Il Gusto'';115408;485848;0;Lunchroom;0,5;-1,5;-0,75
Coffee Mania;117214;484890;0;Lunchroom;0,5;-1,5;-0,75
Coffeemania Canteen B.V.;117214;484890;0;Lunchroom;0,5;-1,5;-0,75
De Koffieschenkerij;121715;487479;0;Lunchroom;0,5;-1,5;-0,75
The Coffee Virus;122026;488593;0;Lunchroom;0,5;-1,5;-0,75
Starbucks Overtoom 72-74;120165;486254;0;Lunchroom;0,5;-1,5;-0,75
Mondaine pastry, icecream & tearoom;120157;486208;0;Lunchroom;0,5;-1,5;-0,75
Hans Lalleman thodn Bagels & Beans Overtoom;119610;486022;0;Lunchroom;0,5;-1,5;-0,75
Blushing Amsterdam B.V.;120474;485778;0;Lunchroom;0,5;-1,5;-0,75
Espressofabriek;119921;488820;0;Lunchroom;0,5;-1,5;-0,75
Inter POP UP;122635;486668;0;Lunchroom;0,5;-1,5;-0,75
Buon Giorno 5 B.V.;119071;486466;0;Lunchroom;0,5;-1,5;-0,75
Cappuccino;117692;486415;0;Lunchroom;0,5;-1,5;-0,75
Coffeebar Super Skunk;120802;486381;0;Lunchroom;0,5;-1,5;-0,75
Trinity Coffee;119241;487504;0;Lunchroom;0,5;-1,5;-0,75
Kruiswijk Lunchroom;122200;484270;0;Lunchroom;0,5;-1,5;-0,75
De Drie Graefjes B.V.;121281;486836;0;Lunchroom;0,5;-1,5;-0,75
Tostia Bakery & Beverage;123345;484876;0;Lunchroom;0,5;-1,5;-0,75
Bagels & Beans Ruyschstraat;122481;485595;0;Lunchroom;0,5;-1,5;-0,75
Calf & Bloom;121248;486701;0;Lunchroom;0,5;-1,5;-0,75
Croque Madame;121623;487446;0;Lunchroom;0,5;-1,5;-0,75
Sweets&Coffee;118557;485048;0;Lunchroom;0,5;-1,5;-0,75
Coffeemania;116373;488021;0;Lunchroom;0,5;-1,5;-0,75
Espressobar Puccini;121719;486818;0;Lunchroom;0,5;-1,5;-0,75
Vascobelo V-bar Stadionplein;118937;484184;0;Lunchroom;0,5;-1,5;-0,75
Vlmsch Broodhuys Amsterdam Stadionplein B.V.;118890;484174;0;Lunchroom;0,5;-1,5;-0,75
STACH food;118897;484154;0;Lunchroom;0,5;-1,5;-0,75
Coffee Heroes B.V.;119257;486085;0;Lunchroom;0,5;-1,5;-0,75
Clubs & Subs Lunch;117820;488991;0;Lunchroom;0,5;-1,5;-0,75
Koffie Salon Ten Kate B.V.;119591;486589;0;Lunchroom;0,5;-1,5;-0,75
Broodje Vasum;120930;491162;0;Lunchroom;0,5;-1,5;-0,75
Lilly's Lunchroom;115046;485741;0;Lunchroom;0,5;-1,5;-0,75
Buon Giorno 4 B.V.;114662;485623;0;Lunchroom;0,5;-1,5;-0,75
Ontbijt- en Lunchcafe Klaver 4;121718;486280;0;Lunchroom;0,5;-1,5;-0,75
Ballorig Gaasperplas;128395;479484;0;Lunchroom;0,5;-1,5;-0,75
Filter;122278;486980;0;Lunchroom;0,5;-1,5;-0,75
Kims Burgers En Broodjes;122602;489320;0;Lunchroom;0,5;-1,5;-0,75
Hippo Tea Corner;120109;488605;0;Lunchroom;0,5;-1,5;-0,75
D&D Coffee Roasters;121834;485420;0;Lunchroom;0,5;-1,5;-0,75
Bouchee;124395;486785;0;Lunchroom;0,5;-1,5;-0,75
Emperor coffee;123180;485521;0;Lunchroom;0,5;-1,5;-0,75
De Bakkerswinkel;121677;487575;0;Lunchroom;0,5;-1,5;-0,75
Caffenation Amsterdam B.V.;118353;485340;0;Lunchroom;0,5;-1,5;-0,75
Eskina Brasil;119515;486777;0;Lunchroom;0,5;-1,5;-0,75
JACOBS DOUWE EGBERTS Coffeecompany B.V.;121281;488855;0;Lunchroom;0,5;-1,5;-0,75
Koffie & Zo;121331;488575;0;Lunchroom;0,5;-1,5;-0,75
C.D. Nadort t.h.o.d.n. Coffeemania WG-Plein;119847;486400;0;Lunchroom;0,5;-1,5;-0,75
V.O.F. Jun / Coff. Company Jun Wibautstraat 7;122511;485679;0;Lunchroom;0,5;-1,5;-0,75
Lunch Point;119798;482569;0;Lunchroom;0,5;-1,5;-0,75
Di Shue Fang Tea Corner;121841;487476;0;Lunchroom;0,5;-1,5;-0,75
Bagels & Beans Zeilstraat;118598;484920;0;Lunchroom;0,5;-1,5;-0,75
Caffé Tostini;113872;485942;0;Lunchroom;0,5;-1,5;-0,75
NS Stat. Ret.bedr. B.V./Starbucks (A'dam Zd);119987;483645;0;Lunchroom;0,5;-1,5;-0,75
Lunchkiosk Museumplein;120645;485817;15;Lunchroom;0,5;-1,5;-0,75
t Museumpleintje;120616;485805;15;Lunchroom;0,5;-1,5;-0,75
Rembrandt van Gogh;120663;485825;15;Lunchroom;0,5;-1,5;-0,75
Croissanterie Friends;120105;487470;16;Lunchroom;1;-1,5;-1,5
X. Wang t.h.o.d.n. Bagels & Beans Waterloopl.;121833;486756;16;Lunchroom;1;-1,5;-1,5
Food Town;121157;486634;17;Lunchroom;1;-1,5;-1,5
Koffie.Amsterdam;118778;488645;20;Lunchroom;1;-1,5;-1,5
Broodjeszaak Maxim;121208;487301;24;Lunchroom;1;-1,5;-1,5
Vlaamsch Broodhuys A'dam Vijzelstraat B.V.;121288;486244;24;Lunchroom;1;-1,5;-1,5
Raymond's Sandwiches;120948;486888;24;Lunchroom;1;-1,5;-1,5
Village Bagels;121271;486168;25;Lunchroom;1;-1,5;-1,5
Erno's 3 Lunchroom;125385;480802;25;Lunchroom;1;-1,5;-1,5
Baksels;119977;486629;26;Lunchroom;1;-1,5;-1,5
Lunchroom Cafe St. Paul's;121300;487493;26;Lunchroom;1;-1,5;-1,5
Croissanterie Balans;119851;488090;26;Lunchroom;1;-1,5;-1,5
Amsterdams Broodjeshuis de Rotonde;116268;487614;26;Lunchroom;1;-1,5;-1,5
Bagels & Beans Roetersstraat;122541;486343;27;Lunchroom;1;-1,5;-1,5
Bagel Nosh;119466;484361;28;Lunchroom;1;-1,5;-1,5
Tjin's Exotische Broodjes;121798;485564;28;Lunchroom;1;-1,5;-1,5
Croissanterie Bilderdijkstraat;119804;487192;29;Lunchroom;1;-1,5;-1,5
Croissanterie 'Le Mortier';121226;485968;29;Lunchroom;1;-1,5;-1,5
Croissanterie Jennifer;121525;487888;30;Lunchroom;1;-1,5;-1,5
Albron Food & Shop;117679;487184;30;Lunchroom;1;-1,5;-1,5
Bakkerswinkel Neeltje V.O.F.;124389;487752;30;Lunchroom;1;-1,5;-1,5
Cafezinho;120406;487190;30;Lunchroom;1;-1,5;-1,5
Croissanterie Eifeltoren;118248;485005;31;Lunchroom;1;-1,5;-1,5
Banketbakkerij Tearoom IJssalon Lanskroon;121017;486888;31;Lunchroom;1;-1,5;-1,5
Annette en Eric/Doppio Espr. A'dam Kinkerstr.;119595;486559;32;Lunchroom;1;-1,5;-1,5
Mix a Match Koffiesalon B.V.;121747;486016;32;Lunchroom;1;-1,5;-1,5
Bagels & Wraps;120690;486195;32;Lunchroom;1;-1,5;-1,5
Broodbar B.V.;121757;487209;32;Lunchroom;1;-1,5;-1,5
STACH café;121030;486278;32;Lunchroom;1;-1,5;-1,5
Het Koffie Cultuur Centrum;121229;487471;32;Lunchroom;1;-1,5;-1,5
Leut;117664;484156;32;Lunchroom;1;-1,5;-1,5
Koeman's Belegde Broodjes B.V.;118882;484619;33;Lunchroom;1;-1,5;-1,5
De Gouden Tent;121247;485606;33;Lunchroom;1;-1,5;-1,5
Greenwoods Singel B.V.;121228;487665;33;Lunchroom;1;-1,5;-1,5
V.O.F. Caffè il Momento;121076;487541;33;Lunchroom;1;-1,5;-1,5
San Francisco Sandwich Company & Delicatessen;121864;487204;33;Lunchroom;1;-1,5;-1,5
Koffiehuis 'Barraka';121320;487488;34;Lunchroom;1;-1,5;-1,5
Lunchroom Kabila;122773;489647;34;Lunchroom;1;-1,5;-1,5
Grannies;118377;484908;36;Lunchroom;1;-1,5;-1,5
El Mauri;122010;484960;36;Lunchroom;1;-1,5;-1,5
Lunchroom Omayra;119537;486814;37;Lunchroom;1;-1,5;-1,5
Broodje Wouda;121186;486933;38;Lunchroom;1;-1,5;-1,5
Gartine;121241;486927;38;Lunchroom;1;-1,5;-1,5
Lunchcafé Nielsen;120696;487060;39;Lunchroom;1;-1,5;-1,5
JACOBS DOUWE EGBERTS Coffeecompany B.V.;121874;485336;39;Lunchroom;1;-1,5;-1,5
Koffiehuis 'Nogal Wiedes';123858;487025;40;Lunchroom;1;-1,5;-1,5
Mezzo IJssalon en Lunchroom;123673;486132;40;Lunchroom;1;-1,5;-1,5
Broodjeszaak van der Schaft;119885;486717;40;Lunchroom;1;-1,5;-1,5
Nossa Terra;120607;488099;40;Lunchroom;1;-1,5;-1,5
Het Bijzondere Hoekje;120101;489252;40;Lunchroom;1;-1,5;-1,5
Koffie Academie;120091;486181;40;Lunchroom;1;-1,5;-1,5
Broodje Bert;121035;487032;40;Lunchroom;1;-1,5;-1,5
Croissanterie 93;121294;486277;40;Lunchroom;1;-1,5;-1,5
Kiekjes & Koffie;120634;487678;41;Lunchroom;1;-1,5;-1,5
Croissanterie D'oude Brug;121548;487683;41;Lunchroom;1;-1,5;-1,5
P&I Horeca;121341;486935;42;Lunchroom;1;-1,5;-1,5
Gastronomica Amsterdam B.V.;121020;486905;42;Lunchroom;1;-1,5;-1,5
Sugar & Spice Bakery;121878;487526;43;Lunchroom;1;-1,5;-1,5
Toos & Roos y Mucho Mas;120683;487073;44;Lunchroom;1;-1,5;-1,5
VM Food Services Haarlemmerdijk B.V.;121078;488329;44;Lunchroom;1;-1,5;-1,5
Broodjeszaak Etenstijd;121218;485936;44;Lunchroom;1;-1,5;-1,5
Melly's Cookies Bar;121221;487460;45;Lunchroom;1;-1,5;-1,5
Broodjeszaak Polat;117004;485504;45;Lunchroom;1;-1,5;-1,5
Broodje Daan;118651;487418;46;Lunchroom;1;-1,5;-1,5
Betty Blue Amsterdam;121875;487077;46;Lunchroom;1;-1,5;-1,5
Alles voor de Lunch;122331;484026;46;Lunchroom;1;-1,5;-1,5
ICECOFFEE 26;120467;489163;46;Lunchroom;1;-1,5;-1,5
René's Croissanterie B.V.;121459;487257;47;Lunchroom;1;-1,5;-1,5
Croissanterie Outmayer;121370;487475;47;Lunchroom;1;-1,5;-1,5
Café-Koffiehuis 'De Zwijger';119272;487575;47;Lunchroom;1;-1,5;-1,5
Rail Road B.V.;125341;480764;48;Lunchroom;1;-1,5;-1,5
Voldaan;119393;486177;48;Lunchroom;1;-1,5;-1,5
Lekkrr;121985;486677;48;Lunchroom;1;-1,5;-1,5
Koffiehuis 't Keldertje;122683;487027;49;Lunchroom;1;-1,5;-1,5
Koffiehuis 't Ballonnetje;122528;486281;49;Lunchroom;1;-1,5;-1,5
Broodje Mokum' Koffiehuis;120586;487450;49;Lunchroom;1;-1,5;-1,5
Crema Espresso B.V.;122044;484968;49;Lunchroom;1;-1,5;-1,5
The Wide Alley B.V.;121628;487509;50;Lunchroom;1;-1,5;-1,5
Samen Lunch & Juice;118779;488437;50;Lunchroom;1;-1,5;-1,5
Beter & Leuk;122488;485485;50;Lunchroom;1;-1,5;-1,5
V.O.F. Sendoo;121248;488165;50;Lunchroom;1;-1,5;-1,5
Damla Broodjeszaak;124063;485993;50;Lunchroom;1;-1,5;-1,5
V.O.F. Jun H.O. Coff. Company Jun Javapln 14A;124492;486352;50;Lunchroom;1;-1,5;-1,5
Royal Bagels and Muffins;120755;486433;50;Lunchroom;1;-1,5;-1,5
Croissanterie Egstorf;121061;487041;50;Lunchroom;1;-1,5;-1,5
Croissanterie Ring Holland B.V.;121236;487058;51;Lunchroom;1;-1,5;-1,5
Café-Koffiehuis 'De Toverbal';124239;486215;51;Lunchroom;1;-1,5;-1,5
YoYo! Fresh Tea Bar;121839;487464;51;Lunchroom;1;-1,5;-1,5
Koffiehuis Güzel Ankara;124314;486167;52;Lunchroom;1;-1,5;-1,5
Vinnies;121336;488144;52;Lunchroom;1;-1,5;-1,5
The Honey Pot;121611;485106;52;Lunchroom;1;-1,5;-1,5
Lunchroom Vennies;118596;486745;52;Lunchroom;1;-1,5;-1,5
Koffie- en Lunchcafé Piqniq;120882;488165;52;Lunchroom;1;-1,5;-1,5
Broodjeszaak 'Prins Heerlijk';121814;487723;52;Lunchroom;1;-1,5;-1,5
Vennington;120972;487879;52;Lunchroom;1;-1,5;-1,5
Koffiehuis 'To Day';121053;485095;53;Lunchroom;1;-1,5;-1,5
Le Salonard;121314;485494;53;Lunchroom;1;-1,5;-1,5
CB&CD t.h.o.d.n. Bagels&Beans Haarlemmerdijk;120886;488505;53;Lunchroom;1;-1,5;-1,5
Coffee & Juices;119950;487584;53;Lunchroom;1;-1,5;-1,5
Qahwa d'or;124558;486271;53;Lunchroom;1;-1,5;-1,5
Mylène Thjong;122169;484238;53;Lunchroom;1;-1,5;-1,5
V.O.F. Jun H.O. Coff. Company Jun Rijnstr. 32;122107;484503;53;Lunchroom;1;-1,5;-1,5
Adev Company;121223;485126;54;Lunchroom;1;-1,5;-1,5
C'est Magnifique;120957;486630;54;Lunchroom;1;-1,5;-1,5
Moods Coffee Corner;120509;488073;54;Lunchroom;1;-1,5;-1,5
Bagels & Beans R. v/d Wilt;121004;487404;54;Lunchroom;1;-1,5;-1,5
Yoghurt Barn De Pijp B.V.;121359;485307;55;Lunchroom;1;-1,5;-1,5
Macrota Sandwiches;118705;484928;55;Lunchroom;1;-1,5;-1,5
Coffee & Paste;118798;485145;56;Lunchroom;1;-1,5;-1,5
The Coffee Gallery Caffetteria Italiana;121961;486903;56;Lunchroom;1;-1,5;-1,5
Brazuca Coffee Ferdinand Bol B.V.;121211;485123;56;Lunchroom;1;-1,5;-1,5
The Coffee Company B.V.;121207;484399;56;Lunchroom;1;-1,5;-1,5
Tante Toast B.V.;121158;486723;56;Lunchroom;1;-1,5;-1,5
Starbucks Singel 480-482;121115;486685;56;Lunchroom;1;-1,5;-1,5
Mahara Holistic Lifestyle;119482;487014;57;Lunchroom;1;-1,5;-1,5
Koffiespot B.V.;120496;486957;57;Lunchroom;1;-1,5;-1,5
NS Stat. Ret.bedr. B.V./De Broodzaak (st. AS);117582;489163;57;Lunchroom;1;-1,5;-1,5
Yada Yada Coffee;122018;484922;57;Lunchroom;1;-1,5;-1,5
Vitam;125714;478643;60;Lunchroom;1;-1,5;-1,5
Stacked Tosti;119883;487143;60;Lunchroom;1;-1,5;-1,5
Lunchroom 'De Koffieketel';121993;485060;60;Lunchroom;1;-1,5;-1,5
Koffiehuis Ahlan;119017;487106;60;Lunchroom;1;-1,5;-1,5
Cafetaria/Lunchroom Herenhoek;121031;487553;61;Lunchroom;1;-1,5;-1,5
Café-Koffiehuis 'Aquarius' Amsterdam-Zuidoost;127352;480985;61;Lunchroom;1;-1,5;-1,5
Iets Aparts;118511;486418;61;Lunchroom;1;-1,5;-1,5
Ms. Crumbs B.V.;121645;487265;62;Lunchroom;1;-1,5;-1,5
Black Gold;122031;487211;63;Lunchroom;1;-1,5;-1,5
100&1;123526;486431;63;Lunchroom;1;-1,5;-1,5
De Wasserette Eten & Drinken B.V.;121335;485445;64;Lunchroom;1;-1,5;-1,5
Tea in the City B.V.;120285;484712;64;Lunchroom;1;-1,5;-1,5
Tony's Ny City Bagels;122016;486915;64;Lunchroom;1;-1,5;-1,5
De Lunchkoerier Amsterdam;124321;479855;64;Lunchroom;1;-1,5;-1,5
Lunchroom Osdorp Çesme;115084;486230;64;Lunchroom;1;-1,5;-1,5
Letting V.O.F.;120962;487870;64;Lunchroom;1;-1,5;-1,5
Croissanterie-Tearoom 'Jenniffer';120869;487453;64;Lunchroom;1;-1,5;-1,5
Lunchroom T;122538;486331;64;Lunchroom;1;-1,5;-1,5
Koffiehuis de Valk V.O.F.;122418;487067;64;Lunchroom;1;-1,5;-1,5
Kofi-T;121230;484965;65;Lunchroom;1;-1,5;-1,5
Bedford-Stuyvesant;124114;486310;65;Lunchroom;1;-1,5;-1,5
Comestibles Kinders;120566;487902;65;Lunchroom;1;-1,5;-1,5
Geknipte Bonen;119712;487085;66;Lunchroom;1;-1,5;-1,5
Sal Meijer B.V.;119632;482177;67;Lunchroom;1;-1,5;-1,5
Lunchroom Tortilla;116982;485504;67;Lunchroom;1;-1,5;-1,5
Dagelijks Lekker B.V.;125234;480688;68;Lunchroom;1;-1,5;-1,5
Ma Bella Cakery;121436;488662;68;Lunchroom;1;-1,5;-1,5
theehuis 'de Akermolen';113708;484405;68;Lunchroom;1;-1,5;-1,5
Villa Break;124461;480623;69;Lunchroom;1;-1,5;-1,5
Gertruud's Koffie;123848;486257;69;Lunchroom;1;-1,5;-1,5
JACOBS DOUWE EGBERTS Coffeecompany B.V.;120989;488410;69;Lunchroom;1;-1,5;-1,5
white label coffee;118524;487084;69;Lunchroom;1;-1,5;-1,5
JACOBS DOUWE EGBERTS Coffeecompany B.V.;121680;486604;70;Lunchroom;1;-1,5;-1,5
Coffee Bru;123016;485567;70;Lunchroom;1;-1,5;-1,5
Espressofabriek;128747;484970;70;Lunchroom;1;-1,5;-1,5
Lot Sixty One;119796;486675;70;Lunchroom;1;-1,5;-1,5
IPO'S Coffee Gallery;122870;487878;70;Lunchroom;1;-1,5;-1,5
Foodservice ABAN;122923;487857;70;Lunchroom;1,5;-1,5;-2,25
Koffiebar Osdorp;115749;485286;70;Lunchroom;1,5;-1,5;-2,25
Koffiehuis 'Koroglu';119267;486030;70;Lunchroom;1,5;-1,5;-2,25
Pesto Presto B.V.;121297;486284;70;Lunchroom;1,5;-1,5;-2,25
Koffiehuis Salam;118623;487184;71;Lunchroom;1,5;-1,5;-2,25
Croissanterie Outmayer;121226;486829;71;Lunchroom;1,5;-1,5;-2,25
Vlmsch Broodhuys Amsterdam van Woustraat B.V.;121856;485373;71;Lunchroom;1,5;-1,5;-2,25
Overtaart;120078;486177;72;Lunchroom;1,5;-1,5;-2,25
Madani's;115024;485050;72;Lunchroom;1,5;-1,5;-2,25
De Turk;121831;485482;72;Lunchroom;1,5;-1,5;-2,25
Sweet Cup;120852;486263;73;Lunchroom;1,5;-1,5;-2,25
OMA IETJE;125450;479924;73;Lunchroom;1,5;-1,5;-2,25
Starbucks Ferdinand Bolstraat 45;121167;485391;74;Lunchroom;1,5;-1,5;-2,25
Coffeecompany;120215;484509;75;Lunchroom;1,5;-1,5;-2,25
The Coffeebrand;118409;485008;75;Lunchroom;1,5;-1,5;-2,25
Koffiehuis 'De Hoek';120683;487281;75;Lunchroom;1,5;-1,5;-2,25
Bahya Food to Share;120792;485034;75;Lunchroom;1,5;-1,5;-2,25
De Bakkerswinkel Oud-Zuid;120797;485033;75;Lunchroom;1,5;-1,5;-2,25
VINNIES;121205;484358;75;Lunchroom;1,5;-1,5;-2,25
Broodje Popov;121777;485544;75;Lunchroom;1,5;-1,5;-2,25
Villa H&H thodn Délifrance Amsterdamse Poort;125497;480840;76;Lunchroom;1,5;-1,5;-2,25
sugar 'N bakery;121145;487504;77;Lunchroom;1,5;-1,5;-2,25
JWO Lekkernijen;120737;488247;77;Lunchroom;1,5;-1,5;-2,25
Erno's 1 (Lunchroom);124712;481693;78;Lunchroom;1,5;-1,5;-2,25
Brezel;122297;485989;78;Lunchroom;1,5;-1,5;-2,25
Koffiehuis Karanfil;121466;485058;78;Lunchroom;1,5;-1,5;-2,25
Theehuis Remana;118808;486583;80;Lunchroom;1,5;-1,5;-2,25
Vlaamsch Broodhuys A'dam Haarlemmerstr. B.V.;121195;488218;80;Lunchroom;1,5;-1,5;-2,25
Broodjeszaak Oguz;116874;486296;80;Lunchroom;1,5;-1,5;-2,25
Greenwoods Keizergracht B.V.;120932;486572;80;Lunchroom;1,5;-1,5;-2,25
Toasty! Lunchroom;119106;485791;80;Lunchroom;1,5;-1,5;-2,25
Sandwiches Shop Velida's;120982;487377;80;Lunchroom;1,5;-1,5;-2,25
Brandmeester's;120289;485879;80;Lunchroom;1,5;-1,5;-2,25
The Breakfast Club B.V.;119599;486757;81;Lunchroom;1,5;-1,5;-2,25
